Cerenzia comune,Cerenzia comune.1
,
Cerenzia – VedutaPanorama di Cerenzia,Cerenzia – VedutaPanorama di Cerenzia
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Salvatore Mascaro (lista civica “Per Cerenzia“) dal 15-5-2023
Territorio,Territorio
Coordinate,39°15′N 16°47′E
Altitudine,664 m s.l.m.
Superficie,"21,97 km²"
Abitanti,983[1] (30-11-2025)
Densità,"44,74 ab./km²"
Comuni confinanti,"Caccuri, Castelsilano"
Altre informazioni,Altre informazioni
Cod. postale,88833
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,101006
Cod. catastale,C501
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,cerentinesi
Patrono,san Teodoro di Amasea
Giorno festivo,9 novembre
Cartografia,Cartografia
Cerenzia,Cerenzia
Cerenzia – MappaPosizione del comune di Cerenzia nella provincia di Crotone,Cerenzia – MappaPosizione del comune di Cerenzia nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
