Crucoli comune,Crucoli comune.1
,
Crucoli – Veduta,Crucoli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Cataldo Librandi (lista civica Rinascita e cambiamento) dal 4-10-2021
Territorio,Territorio
Coordinate,39°25′25″N 17°00′12″E
Altitudine,380 m s.l.m.
Superficie,"50,43 km²"
Abitanti,2 753[1] (30-11-2025)
Densità,"54,59 ab./km²"
Frazioni,Torretta di Crucoli
Comuni confinanti,"Cariati (CS), Cirò, Scala Coeli (CS), Terravecchia (CS), Umbriatico"
Altre informazioni,Altre informazioni
Cod. postale,88812
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101011
Cod. catastale,D189
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,crucolesi
Patrono,Madonna di Manipuglia (san Francesco di Paola alla frazione Torretta)
Giorno festivo,3ª domenica di maggio (27-28 aprile a Torretta)
Cartografia,Cartografia
Crucoli,Crucoli
Crucoli – MappaPosizione del comune di Crucoli nella provincia di Crotone,Crucoli – MappaPosizione del comune di Crucoli nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
