Mesoraca comune,Mesoraca comune.1
,
Mesoraca – Veduta,Mesoraca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Annibale Parise[1] (lista civica) dal 26-5-2019 (2º mandato dall'8-6-2024)
Territorio,Territorio
Coordinate,39°05′N 16°47′E
Altitudine,415 m s.l.m.
Superficie,"94,79 km²"
Abitanti,5 708[2] (30-11-2025)
Densità,"60,22 ab./km²"
Frazioni,Filippa[3]
Comuni confinanti,"Belcastro (CZ), Cutro, Marcedusa (CZ), Petilia Policastro, Petronà (CZ), Roccabernarda, Taverna (CZ), Zagarise (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,88838
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101015
Cod. catastale,F157
Targa,KR
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona D, 1 671 GG[5]"
Nome abitanti,mesorachesi
Patrono,san Nicola
Cartografia,Cartografia
Mesoraca,Mesoraca
Mesoraca – MappaPosizione del comune di Mesoraca nella provincia di Crotone,Mesoraca – MappaPosizione del comune di Mesoraca nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
