Roccabernarda comune,Roccabernarda comune.1
,
Roccabernarda – Veduta,Roccabernarda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Luigi Foresta (lista civica Rocca nova) dal 12-6-2022
Territorio,Territorio
Coordinate,39°08′N 16°52′E
Altitudine,180 m s.l.m.
Superficie,"64,89 km²"
Abitanti,3 043[1] (30-11-2025)
Densità,"46,89 ab./km²"
Frazioni,Termine Grosso
Comuni confinanti,"Caccuri, Cotronei, Cutro, Mesoraca, Petilia Policastro, San Mauro Marchesato, Santa Severina"
Altre informazioni,Altre informazioni
Cod. postale,88835
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101018
Cod. catastale,H383
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,rocchisani
Patrono,san Francesco di Paola
Cartografia,Cartografia
Roccabernarda,Roccabernarda
Roccabernarda – MappaPosizione del comune di Roccabernarda nella provincia di Crotone,Roccabernarda – MappaPosizione del comune di Roccabernarda nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
