Oldenico comune,Oldenico comune.1
,
Oldenico – Veduta,Oldenico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Marco Roncarolo (lista civica)
Territorio,Territorio
Coordinate,45°24′N 8°23′E
Altitudine,143 m s.l.m.
Superficie,"6,53 km²"
Abitanti,236[1] (30-11-2025)
Densità,"36,14 ab./km²"
Comuni confinanti,"Albano Vercellese, Caresanablot, Collobiano, Quinto Vercellese, San Nazzaro Sesia (NO), Villata"
Altre informazioni,Altre informazioni
Cod. postale,13030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002089
Cod. catastale,G018
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 768 GG[3]"
Nome abitanti,Oldenichesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Oldenico,Oldenico
Oldenico – MappaPosizione del comune di Oldenico all'interno della provincia di Vercelli,Oldenico – MappaPosizione del comune di Oldenico all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
