Buronzo comune,Buronzo comune.1
,
Buronzo – VedutaVeduta del castello e della parrocchiale,Buronzo – VedutaVeduta del castello e della parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Ettore Rossini (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°29′N 8°16′E
Altitudine,189 m s.l.m.
Superficie,"25,08 km²"
Abitanti,862[1] (30-11-2025)
Densità,"34,37 ab./km²"
Comuni confinanti,"Balocco, Carisio, Castelletto Cervo (BI), Gifflenga (BI), Masserano (BI), Mottalciata (BI), Rovasenda, San Giacomo Vercellese, Villanova Biellese (BI)"
Altre informazioni,Altre informazioni
Cod. postale,13040
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002021
Cod. catastale,B280
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 550 GG[3]"
Nome abitanti,buronzesi
Cartografia,Cartografia
Buronzo,Buronzo
Buronzo – MappaPosizione del comune di Buronzo all'interno della provincia di Vercelli,Buronzo – MappaPosizione del comune di Buronzo all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
