Cravagliana comune,Cravagliana comune.1
,
Cravagliana – Veduta,Cravagliana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Luca Debernardi (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°51′N 8°12′E
Altitudine,615 m s.l.m.
Superficie,"34,86 km²"
Abitanti,242[1] (30-11-2025)
Densità,"6,94 ab./km²"
Frazioni,"Bocciolaro, Brugaro, Brugarolo, Canera, Colla, Dietro Sella, Ferrera, Giavinali, Grassura, Gula, Meula, Molino-Bellaria, Nosuggio, Ordrovago, Pianaronda, Roncaccio, Saliceto, Sassello Inferiore, Sassello Superiore, Selva, Valbella Inferiore, Valbella Superiore, Voj"
Comuni confinanti,"Balmuccia, Cervatto, Fobello, Rimella, Rossa, Valstrona (VB), Varallo, Vocca"
Altre informazioni,Altre informazioni
Cod. postale,13020
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002048
Cod. catastale,D132
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 104 GG[3]"
Nome abitanti,cravaglianesi
Patrono,Maria SS. Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Cravagliana,Cravagliana
Cravagliana – MappaPosizione di Cravagliana all'interno della provincia di Vercelli,Cravagliana – MappaPosizione di Cravagliana all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
