Guardabosone comune,Guardabosone comune.1
,
Guardabosone – Veduta,Guardabosone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Leonardo Di Rienzo (lista civica Il campanile) dal 9-6-2024
Territorio,Territorio
Coordinate,45°42′N 8°15′E
Altitudine,479[1] m s.l.m.
Superficie,"6,09 km²"
Abitanti,295[2] (30-11-2025)
Densità,"48,44 ab./km²"
Comuni confinanti,"Ailoche (BI), Borgosesia, Caprile (BI), Crevacuore (BI), Postua, Scopa, Scopello, Serravalle Sesia"
Altre informazioni,Altre informazioni
Cod. postale,13010
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,002066
Cod. catastale,E237
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 927 GG[4]"
Nome abitanti,guardabosonesi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Guardabosone,Guardabosone
Guardabosone – MappaPosizione del comune di Guardabosone all'interno della provincia di Vercelli,Guardabosone – MappaPosizione del comune di Guardabosone all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
