Varallo comune,Varallo comune.1
,
Varallo – VedutaPanorama,Varallo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Pietro Bondetti (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°48′49.79″N 8°15′29.3″E
Altitudine,450 m s.l.m.
Superficie,"102,97 km²"
Abitanti,6 843[1] (30-11-2025)
Densità,"66,46 ab./km²"
Frazioni,"Arboerio, Balangera, Camasco, Cavaglia Sterna, Cervarolo, Cortaccio, Crevola Sesia, Dovesio, Erbareti, Gerbidi, Grattera, Locarno, Massera, Molindelina, Montata, Morca, Morondo, Parone, Roccapietra, Sabbia, Salaro, Scopelle, Valmaggia, Verzìmo."
Comuni confinanti,"Borgosesia, Cellio con Breia, Cesara (VB), Civiasco, Cravagliana, Madonna del Sasso (VB), Nonio (VB), Quarna Sotto (VB), Quarona, Valstrona (VB), Vocca"
Altre informazioni,Altre informazioni
Cod. postale,13019
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002156
Cod. catastale,L669
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 855 GG[3]"
Nome abitanti,"varallini, varallesi"
Patrono,Vergine incoronata
Giorno festivo,Lunedí dopo pentecoste
Cartografia,Cartografia
Varallo,Varallo
Varallo – MappaPosizione del comune di Varallo all'interno della provincia di Vercelli,Varallo – MappaPosizione del comune di Varallo all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
