Lignana comune,Lignana comune.1
,
Lignana – VedutaIl castello,Lignana – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Emilio Chiocchetti (lista civica Per il buon governo di Lignana Casalrosso) dal 10-6-2018
Territorio,Territorio
Coordinate,45°17′N 8°21′E
Altitudine,134 m s.l.m.
Superficie,"22,57 km²"
Abitanti,549[1] (30-11-2025)
Densità,"24,32 ab./km²"
Frazioni,"Veneria, Casalrosso"
Comuni confinanti,"Crova, Desana, Ronsecco, Salasco, Sali Vercellese, Vercelli"
Altre informazioni,Altre informazioni
Cod. postale,13034
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002070
Cod. catastale,E583
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 757 GG[3]"
Nome abitanti,lignanesi
Patrono,san Germano
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Lignana,Lignana
Lignana – MappaPosizione del comune di Lignana all'interno della provincia di Vercelli,Lignana – MappaPosizione del comune di Lignana all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
