Cellio con Breia comune,Cellio con Breia comune.1
,
Cellio con Breia – Veduta,Cellio con Breia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Daniele Todaro (lista civica Verso il futuro) dal 10-6-2018
Data di istituzione,1º gennaio 2018
Territorio,Territorio
Coordinate,45°45′25.56″N 8°18′42.12″E
Altitudine,685 m s.l.m.
Superficie,"17,28 km²"
Abitanti,951[1] (30-11-2025)
Densità,"55,03 ab./km²"
Frazioni,"Breia, Cellio"
Comuni confinanti,"Borgosesia, Madonna del Sasso (VB), Quarona, Valduggia, Varallo"
Altre informazioni,Altre informazioni
Cod. postale,13024
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002171
Cod. catastale,M398
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Patrono,"san Giovanni Battista, san Lorenzo"
Giorno festivo,10 agosto e 24 giugno
Cartografia,Cartografia
Cellio con Breia,Cellio con Breia
Cellio con Breia – MappaPosizione del comune di Cellio con Breia nella provincia di Vercelli,Cellio con Breia – MappaPosizione del comune di Cellio con Breia nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
