Lenta comune,Lenta comune.1
,
Lenta – Veduta,Lenta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Sergio Parini (lista civica Insieme per Lenta) dal 15-5-2023
Territorio,Territorio
Coordinate,45°33′N 8°23′E
Altitudine,219 m s.l.m.
Superficie,"18,97 km²"
Abitanti,759[1] (30-11-2025)
Densità,"40,01 ab./km²"
Comuni confinanti,"Carpignano Sesia (NO), Gattinara, Ghemme (NO), Ghislarengo, Rovasenda"
Altre informazioni,Altre informazioni
Cod. postale,13035
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002068
Cod. catastale,E528
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 445 GG[3]"
Nome abitanti,lentesi
Patrono,sant'Olimpio
Giorno festivo,16 giugno
Cartografia,Cartografia
Lenta,Lenta
Lenta – MappaPosizione del comune di Lenta all'interno della provincia di Vercelli,Lenta – MappaPosizione del comune di Lenta all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
