Scopa comune,Scopa comune.1
,
Scopa – VedutaComune di Scopa,Scopa – VedutaComune di Scopa
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Marco Deblasi (lista civica Il paese che vorrei) dal 09-06-2024
Territorio,Territorio
Coordinate,45°47′30.67″N 8°06′46.76″E
Altitudine,622 m s.l.m.
Superficie,"22,53 km²"
Abitanti,380[1] (30-11-2025)
Densità,"16,87 ab./km²"
Frazioni,"Muro, Scopetta"
Comuni confinanti,"Balmuccia, Boccioleto, Guardabosone, Postua, Scopello, Vocca"
Altre informazioni,Altre informazioni
Cod. postale,13027
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002134
Cod. catastale,I544
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 113 GG[3]"
Nome abitanti,scopesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Scopa,Scopa
Scopa – MappaPosizione del comune di Scopa all'interno della provincia di Vercelli,Scopa – MappaPosizione del comune di Scopa all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
