Civiasco comune,Civiasco comune.1
,
Civiasco – Veduta,Civiasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Davide Calzoni (lista civica) dal 12-6-2017 (4º mandato)
Territorio,Territorio
Coordinate,45°48′45.37″N 8°18′13.85″E
Altitudine,716 m s.l.m.
Superficie,"7,39 km²"
Abitanti,223[1] (30-11-2025)
Densità,"30,18 ab./km²"
Frazioni,"Campolungo, Piandellavalle, Machetto"
Comuni confinanti,"Arola (VB), Cesara (VB), Madonna del Sasso (VB), Varallo"
Altre informazioni,Altre informazioni
Cod. postale,13010
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002043
Cod. catastale,C757
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 235 GG[3]"
Nome abitanti,civiascotti
Patrono,san Gottardo
Giorno festivo,4 maggio
Cartografia,Cartografia
Civiasco,Civiasco
Civiasco – MappaPosizione di Civiasco all'interno della provincia di Vercelli,Civiasco – MappaPosizione di Civiasco all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
