Valduggia comune,Valduggia comune.1
,
Valduggia – VedutaPanorama dal Monte Fenera,Valduggia – VedutaPanorama dal Monte Fenera
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Luca Chiara (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°44′N 8°20′E
Altitudine,390 m s.l.m.
Superficie,"28,43 km²"
Abitanti,1 785[1] (30-11-2025)
Densità,"62,79 ab./km²"
Frazioni,"Allera, Arlezze, Bagiarelle, Bertagnina, Ca' Ciottino, Ca' Giordano, Ca' Romano, Campiano, Cantone, Cavagliasche, Cavagna, Castagnola, Cereto, Cerianelli, Colma, Coloria, Crabbia, Folle, Fossetti, Galleria, Lebbia, Lumio, Maretti, Molino Ciottino, Molino Rastelli, Molino Strola, Oraldo, Orbruncio, Orcarale, Orlonghetto, Orlungo, Orpiattino, Orsanvenzo, Orsoletto, Paradiso, Pellicione, Rasco, Raschetto, Rastiglione, Romagnasco, San Bernardo, Seula, Sizzone, Soliva, Sorzano, Strona, Valgemella, Valpiana, Varsaiga, Zuccaro"
Comuni confinanti,"Boca (NO), Borgosesia, Cellio con Breia, Gargallo (NO), Grignasco (NO), Madonna del Sasso (VB), Maggiora (NO), Pogno (NO), Soriso (NO)"
Altre informazioni,Altre informazioni
Cod. postale,13018
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002152
Cod. catastale,L566
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 811 GG[3]"
Nome abitanti,valduggesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Valduggia,Valduggia
Valduggia – MappaPosizione del comune di Valduggia all'interno della provincia di Vercelli,Valduggia – MappaPosizione del comune di Valduggia all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
