Rimella comune,Rimella comune.1
,
Rimella – VedutaPanorama,Rimella – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Riccardo Peco (lista civica Insieme per Rimella) dal 31-5-2015
Territorio,Territorio
Coordinate,45°54′N 8°11′E
Altitudine,1 176 m s.l.m.
Superficie,"26,27 km²"
Abitanti,140[1] (30-11-2025)
Densità,"5,33 ab./km²"
Frazioni,"Chiesa (zar Chiljchu), Ebe, Grondo (Grund), Magneronco, Pianello (en d Aggu), Prati (en Matte), Riva (Rivu), Roncaccio Inferiore (en du Nidru), Roncaccio Superiore (en dun Obru), Sant’Anna (Tossu), Sant’Antonio (zum Gràziànu), San Gottardo (Rund), Sella (d Ŝchàttàl), Villa Inferiore (Nìder Dörf), Villa Superiore (Ober Dörf)[2]"
Comuni confinanti,"Bannio Anzino (VB), Calasca-Castiglione (VB), Cravagliana, Fobello, Valstrona (VB)"
Altre informazioni,Altre informazioni
Cod. postale,13020
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002113
Cod. catastale,H293
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 3 833 GG[4]"
Nome abitanti,rimellesi
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Rimella,Rimella
Rimella – MappaPosizione del comune di rimella all'interno della provincia di Vercelli,Rimella – MappaPosizione del comune di rimella all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
