Pezzana comune,Pezzana comune.1
,
Pezzana – Veduta,Pezzana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Stefano Bondesan (lista civica) dal 7-6-2009
Territorio,Territorio
Coordinate,45°15′43.05″N 8°28′56.2″E
Altitudine,117 m s.l.m.
Superficie,"17,35 km²"
Abitanti,1 294[1] (30-11-2025)
Densità,"74,58 ab./km²"
Comuni confinanti,"Asigliano Vercellese, Caresana, Palestro (PV), Prarolo, Rosasco (PV), Stroppiana"
Altre informazioni,Altre informazioni
Cod. postale,13010
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002093
Cod. catastale,G528
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 776 GG[3]"
Nome abitanti,pezzanesi
Patrono,sant'Eusebio
Giorno festivo,2 agosto
Cartografia,Cartografia
Pezzana,Pezzana
Pezzana – MappaPosizione del comune di Pezzana all'interno della provincia di Vercelli,Pezzana – MappaPosizione del comune di Pezzana all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
