Livorno Ferraris comune,Livorno Ferraris comune.1
,
Livorno Ferraris – Veduta,Livorno Ferraris – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Franco Sandra (lista civica Unione per Livorno) dal 15-5-2023
Territorio,Territorio
Coordinate,45°17′N 8°05′E
Altitudine,188 m s.l.m.
Superficie,"58,03 km²"
Abitanti,4 257[1] (30-11-2025)
Densità,"73,36 ab./km²"
Frazioni,Castell'ApertoleColombaraGaravoglieGerbidiSan Giacomo
Comuni confinanti,BianzèCiglianoCrescentinoFontanetto PoLamporoMoncrivelloSaluggiaTrino
Altre informazioni,Altre informazioni
Cod. postale,13046
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002071
Cod. catastale,E626
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 549 GG[3]"
Nome abitanti,livornesi/livornini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Livorno Ferraris,Livorno Ferraris
Livorno Ferraris – MappaPosizione del comune di Livorno Ferraris all'interno della provincia di Vercelli,Livorno Ferraris – MappaPosizione del comune di Livorno Ferraris all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
