Lozzolo comune,Lozzolo comune.1
,
Lozzolo – VedutaLa torre del castello di Lozzolo,Lozzolo – VedutaLa torre del castello di Lozzolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Roberto Sella (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,45°38′N 8°19′E
Altitudine,320 m s.l.m.
Superficie,"6,67 km²"
Abitanti,752[1] (30-11-2025)
Densità,"112,74 ab./km²"
Comuni confinanti,"Gattinara, Roasio, Serravalle Sesia, Sostegno (BI), Villa del Bosco (BI)"
Altre informazioni,Altre informazioni
Cod. postale,13045
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002072
Cod. catastale,E711
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 720 GG[3]"
Nome abitanti,lozzolesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Lozzolo,Lozzolo
Lozzolo – MappaPosizione del comune di Lozzolo all'interno della provincia di Vercelli,Lozzolo – MappaPosizione del comune di Lozzolo all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
