Saluggia comune,Saluggia comune.1
,
Saluggia – VedutaChiesa Rionale di San Bonaventura,Saluggia – VedutaChiesa Rionale di San Bonaventura
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Libero Farinelli (lista civica) dal 12-06-2021
Territorio,Territorio
Coordinate,45°14′N 8°01′E
Altitudine,205 m s.l.m.
Superficie,"31,6 km²"
Abitanti,3 759[1] (30-11-2025)
Densità,"118,96 ab./km²"
Frazioni,Sant'Antonino
Comuni confinanti,"Cigliano, Crescentino, Lamporo, Livorno Ferraris, Rondissone (TO), Torrazza Piemonte (TO), Verolengo (TO)"
Altre informazioni,Altre informazioni
Cod. postale,13040
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002128
Cod. catastale,H725
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,saluggesi
Patrono,san Grato di Aosta
Giorno festivo,6 settembre
Cartografia,Cartografia
Saluggia,Saluggia
Saluggia – MappaPosizione del comune di Saluggia all'interno della provincia di Vercelli,Saluggia – MappaPosizione del comune di Saluggia all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
