Balocco comune,Balocco comune.1
,
Balocco – VedutaVeduta con il castello e la chiesa,Balocco – VedutaVeduta con il castello e la chiesa
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Gian Mario Morello (lista civica) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°27′N 8°17′E
Altitudine,166 m s.l.m.
Superficie,"16,81 km²"
Abitanti,210[1] (30-11-2025)
Densità,"12,49 ab./km²"
Comuni confinanti,"Buronzo, Carisio, Formigliana, San Giacomo Vercellese, Villarboit"
Altre informazioni,Altre informazioni
Cod. postale,13040
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002009
Cod. catastale,A601
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 520 GG[3]"
Nome abitanti,balocchesi
Patrono,"san Michele Arcangelo, frazione Bastia sant'Antonio Abate"
Cartografia,Cartografia
Balocco,Balocco
Balocco – MappaPosizione del comune di Balocco nella provincia di Vercelli,Balocco – MappaPosizione del comune di Balocco nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
