Fobello comune,Fobello comune.1
,
Fobello – VedutaFobello,Fobello – VedutaFobello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Anna Baingiu (lista civica) dal 25-5-2019
Territorio,Territorio
Coordinate,45°53′23.5″N 8°09′30.1″E
Altitudine,873 m s.l.m.
Superficie,"28,14 km²"
Abitanti,185[1] (30-11-2025)
Densità,"6,57 ab./km²"
Comuni confinanti,"Alto Sermenza, Bannio Anzino (VB), Carcoforo, Cervatto, Cravagliana, Rimella, Rossa"
Altre informazioni,Altre informazioni
Cod. postale,13025
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002057
Cod. catastale,D641
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 439 GG[3]"
Nome abitanti,"fobellesi, fobellini"
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Fobello,Fobello
Fobello – MappaPosizione del comune di Fobello all'interno della provincia di Vercelli,Fobello – MappaPosizione del comune di Fobello all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
