Olcenengo comune,Olcenengo comune.1
,
Olcenengo – VedutaEntrata della Tenuta Castellone,Olcenengo – VedutaEntrata della Tenuta Castellone
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Anna Maria Ranghino (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°22′N 8°19′E
Altitudine,149 m s.l.m.
Superficie,"16,5 km²"
Abitanti,771[1] (30-11-2025)
Densità,"46,73 ab./km²"
Comuni confinanti,"Caresanablot, Casanova Elvo, Collobiano, Quinto Vercellese, San Germano Vercellese, Vercelli"
Altre informazioni,Altre informazioni
Cod. postale,13047
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002088
Cod. catastale,G016
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 776 GG[3]"
Nome abitanti,olcenenghesi
Patrono,santi Quirico e Giulitta
Giorno festivo,terza domenica di luglio
Cartografia,Cartografia
Olcenengo,Olcenengo
Olcenengo – MappaPosizione del comune di Olcenengo all'interno della provincia di Vercelli,Olcenengo – MappaPosizione del comune di Olcenengo all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
