Provincia di Vercelli provincia,Provincia di Vercelli provincia.1
,
Provincia di Vercelli – VedutaRisaie di Vercelli,Provincia di Vercelli – VedutaRisaie di Vercelli
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Amministrazione,Amministrazione
Capoluogo,Vercelli
Presidente,Davide Gilardino (FdI) dal 24-7-2022
Data di istituzione,1927
Territorio,Territorio
Coordinate del capoluogo,45°19′N 8°25′E
Superficie,"2 081,64 km²"
Abitanti,166 064[1] (31-10-2025)
Densità,"79,78 ab./km²"
Comuni,82 comuni
Province confinanti,"Alessandria, Biella, Novara, Pavia, Torino, Verbano-Cusio-Ossola, Aosta, Vallese (Svizzera)"
Altre informazioni,Altre informazioni
Cod. postale,"13100, 13010-13060"
Prefisso,"015, 0161, 0163"
Fuso orario,UTC+1
ISO 3166-2,IT-VC
Codice ISTAT,002
Targa,VC
PIL procapite,(nominale) 21312 €[2]
Cartografia,Cartografia
Provincia di Vercelli – Localizzazione,Provincia di Vercelli – Localizzazione
Provincia di Vercelli – MappaPosizione della provincia di Vercelli all'interno del Piemonte.,Provincia di Vercelli – MappaPosizione della provincia di Vercelli all'interno del Piemonte.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
