Caresana comune,Caresana comune.1
,
Caresana – Veduta,Caresana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Claudio Tambornino (lista civica Insieme per Caresana) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°13′N 8°30′E
Altitudine,119 m s.l.m.
Superficie,"24,11 km²"
Abitanti,991[1] (30-11-2025)
Densità,"41,1 ab./km²"
Comuni confinanti,"Langosco (PV), Motta de' Conti, Pezzana, Stroppiana, Rosasco (PV), Villanova Monferrato (AL)"
Altre informazioni,Altre informazioni
Cod. postale,13010
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002030
Cod. catastale,B767
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 820 GG[3]"
Nome abitanti,caresanesi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Caresana,Caresana
Caresana – MappaPosizione del comune di Caresana nella provincia di Vercelli,Caresana – MappaPosizione del comune di Caresana nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
