Fontanetto Po comune,Fontanetto Po comune.1
,
Fontanetto Po – VedutaPanorama del paese dalle colline del Monferrato,Fontanetto Po – VedutaPanorama del paese dalle colline del Monferrato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Riccardo Vallino (lista civica) dal 2021
Territorio,Territorio
Coordinate,45°12′N 8°11′E
Altitudine,143 m s.l.m.
Superficie,"23,24 km²"
Abitanti,1 037[1] (30-11-2025)
Densità,"44,62 ab./km²"
Frazioni,La Guidera
Comuni confinanti,"Crescentino, Gabiano (AL), Livorno Ferraris, Moncestino (AL), Palazzolo Vercellese, Trino"
Altre informazioni,Altre informazioni
Cod. postale,13040
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002058
Cod. catastale,D676
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 810 GG[3]"
Nome abitanti,fontanettesi
Patrono,san Bononio
Cartografia,Cartografia
Fontanetto Po,Fontanetto Po
Fontanetto Po – MappaPosizione del comune di Fontanetto Po all'interno della provincia di Vercelli,Fontanetto Po – MappaPosizione del comune di Fontanetto Po all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
