Rossa comune,Rossa comune.1
,
Rossa – Veduta,Rossa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Alex Rotta (lista civica Costruiamo il futuro) dal 5-6-2016
Territorio,Territorio
Coordinate,45°51′16.74″N 8°07′17.95″E
Altitudine,813 m s.l.m.
Superficie,"11,84 km²"
Abitanti,166[1] (30-11-2025)
Densità,"14,02 ab./km²"
Frazioni,"Cà dei Bianchi, Cà dei Secchi, Cerva, Folecchio, Fontane, Piana di Rossa, Rainero, Salerio"
Comuni confinanti,"Alto Sermenza, Balmuccia, Boccioleto, Cervatto, Cravagliana, Fobello"
Altre informazioni,Altre informazioni
Cod. postale,13020
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002121
Cod. catastale,H577
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 361 GG[3]"
Nome abitanti,rossesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Rossa,Rossa
Rossa – MappaPosizione del comune di rossa all'interno della provincia di Vercelli,Rossa – MappaPosizione del comune di rossa all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
