Tronzano Vercellese comune,Tronzano Vercellese comune.1
,
Tronzano Vercellese – VedutaMunicipio,Tronzano Vercellese – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Michele Pairotto (lista civica Per Tronzano e Salomino impegno e passione) dal 20-9-2020
Territorio,Territorio
Coordinate,45°21′N 8°10′E
Altitudine,182 m s.l.m.
Superficie,"44,75 km²"
Abitanti,3 270[1] (30-11-2025)
Densità,"73,07 ab./km²"
Frazioni,Salomino
Comuni confinanti,"Alice Castello, Bianzè, Borgo d'Ale, Crova, Ronsecco, San Germano Vercellese, Santhià"
Altre informazioni,Altre informazioni
Cod. postale,13049
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002150
Cod. catastale,L451
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 537 GG[3]"
Nome abitanti,tronzanesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Tronzano Vercellese,Tronzano Vercellese
Tronzano Vercellese – MappaPosizione del comune di Tronzano Vercellese all'interno della provincia di Vercelli,Tronzano Vercellese – MappaPosizione del comune di Tronzano Vercellese all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
