Ghislarengo comune,Ghislarengo comune.1
,
Ghislarengo – Veduta,Ghislarengo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Martina Rinolfi (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,45°31′35.63″N 8°22′28.06″E
Altitudine,206 m s.l.m.
Superficie,"12,5 km²"
Abitanti,821[1] (30-11-2025)
Densità,"65,68 ab./km²"
Comuni confinanti,"Arborio, Carpignano Sesia (NO), Lenta, Rovasenda, Sillavengo (NO)"
Altre informazioni,Altre informazioni
Cod. postale,13030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002062
Cod. catastale,E007
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 572 GG[3]"
Nome abitanti,ghislarenghesi
Cartografia,Cartografia
Ghislarengo,Ghislarengo
Ghislarengo – MappaPosizione del comune di Ghislarengo all'interno della provincia di Vercelli,Ghislarengo – MappaPosizione del comune di Ghislarengo all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
