San Germano Vercellese comune,San Germano Vercellese comune.1
,
San Germano Vercellese – VedutaChiesa dedicata a San Germano d'Auxerre,San Germano Vercellese – VedutaChiesa dedicata a San Germano d'Auxerre
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Gianni Mentigazzi (Sindaco) dal 4-10-2021
Territorio,Territorio
Coordinate,45°21′N 8°15′E
Altitudine,161 m s.l.m.
Superficie,"30,63 km²"
Abitanti,1 617[1] (30-11-2025)
Densità,"52,79 ab./km²"
Comuni confinanti,"Casanova Elvo, Crova, Olcenengo, Salasco, Santhià, Tronzano Vercellese, Vercelli"
Altre informazioni,Altre informazioni
Cod. postale,13047
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002131
Cod. catastale,H861
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,sangermanesi
Patrono,Germano d'Auxerre[4]
Giorno festivo,31 luglio
Cartografia,Cartografia
San Germano Vercellese,San Germano Vercellese
San Germano Vercellese – MappaPosizione del comune di San Germano Vercellese all'interno della provincia di Vercelli,San Germano Vercellese – MappaPosizione del comune di San Germano Vercellese all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
