Palazzolo Vercellese comune,Palazzolo Vercellese comune.1
,
Palazzolo Vercellese – VedutaPanorama dalle colline del Monferrato,Palazzolo Vercellese – VedutaPanorama dalle colline del Monferrato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Maria Franca Giorcelli dal 26-5-2019
Territorio,Territorio
Coordinate,45°11′N 8°14′E
Altitudine,137 m s.l.m.
Superficie,"13,94 km²"
Abitanti,1 086[1] (30-11-2025)
Densità,"77,91 ab./km²"
Comuni confinanti,"Camino (AL), Fontanetto Po (VC), Gabiano (AL), Trino (VC)"
Altre informazioni,Altre informazioni
Cod. postale,13040
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002090
Cod. catastale,G266
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 802 GG[3]"
Nome abitanti,palazzolesi
Patrono,san Caio e santa Faustina
Giorno festivo,1ª domenica di settembre
Cartografia,Cartografia
Palazzolo Vercellese,Palazzolo Vercellese
Palazzolo Vercellese – MappaPosizione del comune di Palazzolo Vercellese all'interno della provincia di Vercelli,Palazzolo Vercellese – MappaPosizione del comune di Palazzolo Vercellese all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
