Lamporo comune,Lamporo comune.1
,
Lamporo – VedutaPanorama del paese,Lamporo – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Claudio Preti (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,45°14′N 8°06′E
Altitudine,165 m s.l.m.
Superficie,"9,64 km²"
Abitanti,470[1] (30-11-2025)
Densità,"48,76 ab./km²"
Comuni confinanti,"Crescentino, Livorno Ferraris, Saluggia"
Altre informazioni,Altre informazioni
Cod. postale,13046
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002067
Cod. catastale,E433
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 519 GG[3]"
Nome abitanti,lamporesi
Patrono,san Bernardo di Mentone
Giorno festivo,15 giugno
Cartografia,Cartografia
Lamporo,Lamporo
Lamporo – MappaPosizione del comune di Lamporo all'interno della provincia di Vercelli,Lamporo – MappaPosizione del comune di Lamporo all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
