Costanzana comune,Costanzana comune.1
,
Costanzana – VedutaVeduta del paese,Costanzana – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Raffaella Oppezzo (lista civica Io corro per Costanzana) dal 25-5-2014
Territorio,Territorio
Coordinate,45°14′N 8°22′E
Altitudine,129 m s.l.m.
Superficie,"20,97 km²"
Abitanti,815[1] (30-11-2025)
Densità,"38,87 ab./km²"
Frazioni,"Saletta, Torrione"
Comuni confinanti,"Asigliano Vercellese, Balzola (AL), Desana, Morano sul Po (AL), Pertengo, Rive, Tricerro, Trino"
Altre informazioni,Altre informazioni
Cod. postale,13033
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002047
Cod. catastale,D113
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 750 GG[3]"
Nome abitanti,costanzanesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Costanzana,Costanzana
Costanzana – MappaPosizione del comune di Costanzana nella provincia di Vercelli,Costanzana – MappaPosizione del comune di Costanzana nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
