Borgo Vercelli comune,Borgo Vercelli comune.1
,
Borgo Vercelli – Veduta,Borgo Vercelli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Mario Demagistri (lista civica) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°22′N 8°28′E
Altitudine,126 m s.l.m.
Superficie,"19,3 km²"
Abitanti,2 236[1] (30-11-2025)
Densità,"115,85 ab./km²"
Comuni confinanti,"Casalino (NO), Casalvolone (NO), Vercelli, Villata, Vinzaglio (NO)"
Altre informazioni,Altre informazioni
Cod. postale,13012
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002017
Cod. catastale,B046
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 746 GG[3]"
Nome abitanti,borgovercellesi
Patrono,Santa Maria Assunta in Cielo
Giorno festivo,15 agosto
Cartografia,Cartografia
Borgo Vercelli,Borgo Vercelli
Borgo Vercelli – MappaPosizione del comune di Borgo Vercelli all'interno della provincia di Vercelli,Borgo Vercelli – MappaPosizione del comune di Borgo Vercelli all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
