Mollia comune,Mollia comune.1
,
Mollia – Veduta,Mollia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Marilena Carmellino (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°49′N 8°02′E
Altitudine,880 m s.l.m.
Superficie,"13,92 km²"
Abitanti,101[1] (30-11-2025)
Densità,"7,26 ab./km²"
Frazioni,"Casa Capietto, Casacce, Curgo, Goreto, Grampa, Otra Sesia, Piana Fontana, Piana Toni, Piana Viana"
Comuni confinanti,"Alagna Valsesia, Alto Sermenza, Boccioleto, Campertogno"
Altre informazioni,Altre informazioni
Cod. postale,13023
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002078
Cod. catastale,F297
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 448 GG[3]"
Nome abitanti,molliesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Mollia,Mollia
Mollia – MappaPosizione del comune di Mollia all'interno della provincia di Vercelli,Mollia – MappaPosizione del comune di Mollia all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
