Tricerro comune,Tricerro comune.1
,
Tricerro – VedutaIl municipio,Tricerro – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Mauro Burocco (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°14′N 8°20′E
Altitudine,141 m s.l.m.
Superficie,"12,25 km²"
Abitanti,658[1] (30-11-2025)
Densità,"53,71 ab./km²"
Comuni confinanti,"Costanzana, Desana, Ronsecco, Trino"
Altre informazioni,Altre informazioni
Cod. postale,13038
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002147
Cod. catastale,L420
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 764 GG[3]"
Nome abitanti,tricerresi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Tricerro,Tricerro
Tricerro – MappaPosizione del comune di Tricerro all'interno della provincia di Vercelli,Tricerro – MappaPosizione del comune di Tricerro all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
