Formigliana comune,Formigliana comune.1
,
Formigliana – VedutaMunicipio,Formigliana – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Davide Brunetti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°26′N 8°17′E
Altitudine,157 m s.l.m.
Superficie,"16,76 km²"
Abitanti,488[1] (30-11-2025)
Densità,"29,12 ab./km²"
Frazioni,"Fornace Crocicchio, Lista"
Comuni confinanti,"Balocco, Carisio, Casanova Elvo, Santhià, Villarboit"
Altre informazioni,Altre informazioni
Cod. postale,13030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002059
Cod. catastale,D712
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 509 GG[3]"
Nome abitanti,formiglianesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Formigliana,Formigliana
Formigliana – MappaPosizione del comune di Formigliana all'interno della provincia di Vercelli,Formigliana – MappaPosizione del comune di Formigliana all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
