Balmuccia comune,Balmuccia comune.1
,
Balmuccia – Veduta,Balmuccia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Moreno Uffredi (lista civica Insieme per Balmuccia) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°49′N 8°08′E
Altitudine,560 m s.l.m.
Superficie,"9,79 km²"
Abitanti,115[1] (30-11-2025)
Densità,"11,75 ab./km²"
Frazioni,Guaifola
Comuni confinanti,"Boccioleto, Cravagliana, Rossa, Scopa, Vocca"
Altre informazioni,Altre informazioni
Cod. postale,13020
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002008
Cod. catastale,A600
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 032 GG[3]"
Nome abitanti,balmuccesi
Patrono,santa Margherita
Giorno festivo,13 luglio
Cartografia,Cartografia
Balmuccia,Balmuccia
Balmuccia – MappaPosizione del comune di Balmuccia nella provincia di Vercelli,Balmuccia – MappaPosizione del comune di Balmuccia nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
