Asigliano Vercellese comune,Asigliano Vercellese comune.1
,
Asigliano Vercellese – VedutaVeduta del Municipio,Asigliano Vercellese – VedutaVeduta del Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Calogero Bongiovanni (lista civica)
Territorio,Territorio
Coordinate,45°16′N 8°25′E
Altitudine,127 m s.l.m.
Superficie,"26,32 km²"
Abitanti,1 397[1] (30-11-2025)
Densità,"53,08 ab./km²"
Comuni confinanti,"Costanzana, Desana, Pertengo, Pezzana, Prarolo, Stroppiana, Vercelli"
Altre informazioni,Altre informazioni
Cod. postale,13032
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002007
Cod. catastale,A466
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 748 GG[3]"
Nome abitanti,asiglianesi
Patrono,san Vittore
Giorno festivo,2ª domenica di maggio
Cartografia,Cartografia
Asigliano Vercellese,Asigliano Vercellese
Asigliano Vercellese – MappaPosizione del comune di Asigliano Vercellese nella provincia di Vercelli,Asigliano Vercellese – MappaPosizione del comune di Asigliano Vercellese nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
