Àlice Castello comune,Àlice Castello comune.1
,
Àlice Castello – VedutaIl palazzo del Municipio di Alice Castello,Àlice Castello – VedutaIl palazzo del Municipio di Alice Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Luigi Bondonno (lista civica Progetto Alice) dal 26-5-2014
Territorio,Territorio
Coordinate,45°22′N 8°05′E
Altitudine,258 m s.l.m.
Superficie,"24,57 km²"
Abitanti,2 482[1] (30-11-2025)
Densità,"101,02 ab./km²"
Comuni confinanti,"Borgo d'Ale, Cavaglià (BI), Roppolo (BI), Santhià, Tronzano Vercellese, Viverone (BI)"
Altre informazioni,Altre informazioni
Cod. postale,13040
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002004
Cod. catastale,A198
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 640 GG[3]"
Nome abitanti,alicesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Àlice Castello,Àlice Castello
Àlice Castello – MappaPosizione del comune di Alice Castello nella provincia di Vercelli,Àlice Castello – MappaPosizione del comune di Alice Castello nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
