Quinto Vercellese comune,Quinto Vercellese comune.1
,
Quinto Vercellese – VedutaCastello degli Avogadro.,Quinto Vercellese – VedutaCastello degli Avogadro.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Giuseppe Ghisio (lista civica) dall'11-5-2011
Territorio,Territorio
Coordinate,45°23′N 8°22′E
Altitudine,140 m s.l.m.
Superficie,"10,9 km²"
Abitanti,388[1] (30-11-2025)
Densità,"35,6 ab./km²"
Comuni confinanti,"Caresanablot, Collobiano, Olcenengo, Oldenico"
Altre informazioni,Altre informazioni
Cod. postale,13030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002108
Cod. catastale,H132
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 764 GG[3]"
Nome abitanti,quintini o quintesi
Patrono,santi Nazario e Celso
Giorno festivo,28 luglio
Cartografia,Cartografia
Quinto Vercellese,Quinto Vercellese
Quinto Vercellese – MappaPosizione del comune di Quinto Vercellese nella provincia di Vercelli,Quinto Vercellese – MappaPosizione del comune di Quinto Vercellese nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
