Santhià comune,Santhià comune.1
,
Santhià – VedutaLa torre campanaria di Sant'Agata,Santhià – VedutaLa torre campanaria di Sant'Agata
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Angela Ariotti (lista civica) dal 05-10-2021
Territorio,Territorio
Coordinate,45°22′N 8°10′E
Altitudine,183 m s.l.m.
Superficie,"53,13 km²"
Abitanti,8 018[1] (30-11-2025)
Densità,"150,91 ab./km²"
Frazioni,"Bosafarinera, Vettignè"
Comuni confinanti,"Alice Castello, Carisio, Casanova Elvo, Cavaglià (BI), Crova, Formigliana, San Germano Vercellese, Tronzano Vercellese"
Altre informazioni,Altre informazioni
Cod. postale,13048
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002133
Cod. catastale,I337
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 542 GG[3]"
Nome abitanti,santhiatesi[4]
Patrono,sant'Agata
Giorno festivo,5 febbraio
Motto,Communitas Oppidi Illustrissimi Sanctæ Agatæ Vulgo Santihià
Cartografia,Cartografia
Santhià,Santhià
Santhià – MappaPosizione del comune di Santhià all'interno della provincia di Vercelli,Santhià – MappaPosizione del comune di Santhià all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
