Borgosesia comune,Borgosesia comune.1
,
Borgosesia – VedutaPanorama di Borgosesia,Borgosesia – VedutaPanorama di Borgosesia
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Fabrizio Bonaccio (lista civica Borgosesia Oggi e Domani[1]) dal 13-6-2022
Territorio,Territorio
Coordinate,45°43′01″N 8°16′35″E
Altitudine,354 m s.l.m.
Superficie,"41,09 km²"
Abitanti,11 954[2] (30-11-2025)
Densità,"290,92 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Cellio con Breia, Grignasco (NO), Guardabosone, Postua, Quarona, Serravalle Sesia, Valduggia, Varallo, Vocca"
Altre informazioni,Altre informazioni
Cod. postale,13011
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002016
Cod. catastale,B041
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 765 GG[4]"
Nome abitanti,borgosesiani
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Borgosesia,Borgosesia
Borgosesia – MappaPosizione di Borgosesia all'interno della provincia di Vercelli,Borgosesia – MappaPosizione di Borgosesia all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
