Vocca comune,Vocca comune.1
,
Vocca – VedutaIl municipio di Vocca,Vocca – VedutaIl municipio di Vocca
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Giacomo Gagliardini (lista civica Per Vocca) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°50′N 8°12′E
Altitudine,506 m s.l.m.
Superficie,"20,26 km²"
Abitanti,155[1] (30-11-2025)
Densità,"7,65 ab./km²"
Frazioni,"Centro, Chiesa (sede comunale e parrocchiale), Bettola, Isola, Mogliane, Fossati, Sassiglioni."
Comuni confinanti,"Balmuccia, Borgosesia, Cravagliana, Postua, Scopa, Varallo"
Altre informazioni,Altre informazioni
Cod. postale,13020
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002166
Cod. catastale,M106
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 928 GG[3]"
Nome abitanti,vocchesi
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Vocca,Vocca
Vocca – MappaPosizione del comune di Vocca nella provincia di Vercelli,Vocca – MappaPosizione del comune di Vocca nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
