Cervatto comune,Cervatto comune.1
,
Cervatto – VedutaVeduta,Cervatto – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Marina Moretti (lista civica) dal 25-5-2019
Territorio,Territorio
Coordinate,45°52′21.89″N 8°08′36.92″E
Altitudine,1 004 m s.l.m.
Superficie,"9,54 km²"
Abitanti,47[1] (30-11-2025)
Densità,"4,93 ab./km²"
Frazioni,"Cadiano, Cadvilli, Giavina, Orlino, Oro Negro, Tapponaccio"
Comuni confinanti,"Cravagliana, Fobello, Rossa"
Altre informazioni,Altre informazioni
Cod. postale,13025
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002041
Cod. catastale,C548
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 610 GG[3]"
Nome abitanti,cervattesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Cervatto,Cervatto
Cervatto – MappaPosizione di Cervatto all'interno della provincia di Vercelli,Cervatto – MappaPosizione di Cervatto all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
