Desana comune,Desana comune.1
,
Desana – Veduta,Desana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Territorio,Territorio
Coordinate,45°16′N 8°21′E
Altitudine,131 m s.l.m.
Superficie,"16,48 km²"
Abitanti,1 097[1] (30-11-2025)
Densità,"66,57 ab./km²"
Comuni confinanti,"Asigliano Vercellese, Costanzana, Lignana, Ronsecco, Tricerro, Vercelli"
Altre informazioni,Altre informazioni
Cod. postale,13034
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002054
Cod. catastale,D281
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 753 GG[3]"
Nome abitanti,desanesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Desana,Desana
Desana – MappaPosizione del comune di Desana nella provincia di Vercelli,Desana – MappaPosizione del comune di Desana nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
