Greggio comune,Greggio comune.1
,
Greggio – Veduta,Greggio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Claudio Trada (centro-destra) dal 16-5-2011
Territorio,Territorio
Coordinate,45°27′N 8°23′E
Altitudine,161 m s.l.m.
Superficie,"11,88 km²"
Abitanti,328[1] (30-11-2025)
Densità,"27,61 ab./km²"
Comuni confinanti,"Albano Vercellese, Arborio, Recetto (NO), San Nazzaro Sesia (NO), Villarboit"
Altre informazioni,Altre informazioni
Cod. postale,13030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002065
Cod. catastale,E163
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,greggesi
Patrono,santi Quirico e Giulitta
Giorno festivo,terza domenica di luglio
Cartografia,Cartografia
Greggio,Greggio
Greggio – MappaPosizione del comune di Greggio all'interno della provincia di Vercelli,Greggio – MappaPosizione del comune di Greggio all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
