Pertengo comune,Pertengo comune.1
,
Pertengo – Veduta,Pertengo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Anna Talpo (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°14′N 8°25′E
Altitudine,122 m s.l.m.
Superficie,"8,3 km²"
Abitanti,330[1] (30-11-2025)
Densità,"39,76 ab./km²"
Comuni confinanti,"Asigliano Vercellese, Costanzana, Rive, Stroppiana"
Altre informazioni,Altre informazioni
Cod. postale,13030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002091
Cod. catastale,G471
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 782 GG[3]"
Nome abitanti,pertenghesi
Patrono,san Germano
Giorno festivo,25 luglio
Cartografia,Cartografia
Pertengo,Pertengo
Pertengo – MappaPosizione del comune di Pertengo all'interno della provincia di Vercelli,Pertengo – MappaPosizione del comune di Pertengo all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
