Arborio comune,Arborio comune.1
,
Arborio – Veduta,Arborio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Annalisa Ferrarotti (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,45°30′N 8°23′E
Altitudine,185 m s.l.m.
Superficie,"23,31 km²"
Abitanti,841[1] (30-11-2025)
Densità,"36,08 ab./km²"
Comuni confinanti,"Ghislarengo, Greggio, Landiona (NO), Recetto (NO), Rovasenda, San Giacomo Vercellese, Sillavengo (NO), Vicolungo (NO), Villarboit"
Altre informazioni,Altre informazioni
Cod. postale,13031
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002006
Cod. catastale,A358
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,arboriesi
Patrono,san Martino
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Arborio,Arborio
Arborio – MappaPosizione del comune di Arborio nella provincia di Vercelli,Arborio – MappaPosizione del comune di Arborio nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
