Quarona comune,Quarona comune.1
,
Quarona – VedutaQuarona vista dal Tovo,Quarona – VedutaQuarona vista dal Tovo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Francesco Pietrasanta (Avanti tutta Quarona Rilanciamo Quarona) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°45′28.33″N 8°15′56.6″E
Altitudine,401 m s.l.m.
Superficie,"16,16 km²"
Abitanti,3 709[1] (30-11-2025)
Densità,"229,52 ab./km²"
Frazioni,"Doccio, Valmaggiore"
Comuni confinanti,"Borgosesia, Cellio con Breia, Varallo"
Altre informazioni,Altre informazioni
Cod. postale,13017
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002107
Cod. catastale,H108
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 798 GG[3]"
Nome abitanti,quaronesi
Patrono,san Giovanni Battista
Cartografia,Cartografia
Quarona,Quarona
Quarona – MappaPosizione del comune di Quarona nella provincia di Vercelli,Quarona – MappaPosizione del comune di Quarona nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
