Carcoforo comune,Carcoforo comune.1
,
Carcoforo – VedutaVeduta,Carcoforo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Vittorio Bertolini (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°54′N 8°03′E
Altitudine,1 304 m s.l.m.
Superficie,"22,8 km²"
Abitanti,78[1] (30-11-2025)
Densità,"3,42 ab./km²"
Frazioni,"Badile, Tetto Minocco"
Comuni confinanti,"Alto Sermenza, Bannio Anzino (VB), Ceppo Morelli (VB), Fobello, Macugnaga (VB)"
Altre informazioni,Altre informazioni
Cod. postale,13026
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002029
Cod. catastale,B752
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 000 GG[3]"
Nome abitanti,carcoforesi o kirchofer
Cartografia,Cartografia
Carcoforo,Carcoforo
Carcoforo – MappaPosizione del comune di Carcoforo dentro alla provincia di Vercelli,Carcoforo – MappaPosizione del comune di Carcoforo dentro alla provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
