Roasio comune,Roasio comune.1
,
Roasio – VedutaPanorama,Roasio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Gianmario Taraboletti (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°35′51.12″N 8°17′24.75″E
Altitudine,278 m s.l.m.
Superficie,"27,92 km²"
Abitanti,2 150[1] (30-11-2025)
Densità,"77,01 ab./km²"
Frazioni,"San Maurizio, Santa Maria, Sant'Eusebio, San Giorgio, Castelletto Villa"
Comuni confinanti,"Brusnengo (BI), Curino (BI), Gattinara, Lozzolo, Rovasenda, Sostegno (BI), Villa del Bosco (BI)"
Altre informazioni,Altre informazioni
Cod. postale,13060
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002116
Cod. catastale,H365
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 522 GG[3]"
Nome abitanti,roasiani
Patrono,san Maurizio
Cartografia,Cartografia
Roasio,Roasio
Roasio – MappaPosizione del comune di Roasio all'interno della provincia di Vercelli,Roasio – MappaPosizione del comune di Roasio all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
