San Giacomo Vercellese comune,San Giacomo Vercellese comune.1
,
San Giacomo Vercellese – Veduta,San Giacomo Vercellese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Patrizio Pansarasa (lista civica) dal 9-2-2025
Territorio,Territorio
Coordinate,45°30′N 8°20′E
Altitudine,197 m s.l.m.
Superficie,"9,6 km²"
Abitanti,260[1] (30-11-2025)
Densità,"27,08 ab./km²"
Comuni confinanti,"Arborio, Balocco, Buronzo, Rovasenda, Villarboit"
Altre informazioni,Altre informazioni
Cod. postale,13030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002035
Cod. catastale,B952
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 561 GG[3]"
Nome abitanti,sangiacomesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
San Giacomo Vercellese,San Giacomo Vercellese
San Giacomo Vercellese – MappaPosizione del comune di San Giacomo Vercellese all'interno della provincia di Vercelli,San Giacomo Vercellese – MappaPosizione del comune di San Giacomo Vercellese all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
