Villarboit comune,Villarboit comune.1
,
Villarboit – VedutaVeduta,Villarboit – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Virginia Gili (lista civica Unione Villarboit) dal 27-5-2019 (2º mandato dal 10-5-2024)
Territorio,Territorio
Coordinate,45°26′N 8°20′E
Altitudine,162 m s.l.m.
Superficie,"25,51 km²"
Abitanti,363[1] (30-11-2025)
Densità,"14,23 ab./km²"
Frazioni,"Busonengo, San Marco"
Comuni confinanti,"Albano Vercellese, Arborio, Balocco, Casanova Elvo, Collobiano, Formigliana, Greggio, San Giacomo Vercellese"
Altre informazioni,Altre informazioni
Cod. postale,13030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002163
Cod. catastale,M003
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 793 GG[3]"
Nome abitanti,villarboitesi
Patrono,"santi Pietro e Paolo Apostoli, san Marco Evangelista (frazione San Marco), Santissima Vergine del Rosario (frazione Busonengo)"
Giorno festivo,29 giugno
Cartografia,Cartografia
Villarboit,Villarboit
Villarboit – MappaPosizione del comune di Villarboit all'interno della provincia di Vercelli,Villarboit – MappaPosizione del comune di Villarboit all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
