Borgo d'Ale comune,Borgo d'Ale comune.1
,
Borgo d'Ale – VedutaVeduta di corso Libertà,Borgo d'Ale – VedutaVeduta di corso Libertà
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Pier Mauro Andorno (lista civica Guardiamo oltre) dal 6-6-2016
Territorio,Territorio
Coordinate,45°21′N 8°03′E
Altitudine,242 m s.l.m.
Superficie,"39,57 km²"
Abitanti,2 198[1] (30-11-2025)
Densità,"55,55 ab./km²"
Comuni confinanti,"Alice Castello, Azeglio (TO), Bianzè, Borgomasino (TO), Cossano Canavese (TO), Maglione (TO), Moncrivello, Settimo Rottaro (TO), Tronzano Vercellese, Viverone (BI)"
Altre informazioni,Altre informazioni
Cod. postale,13040
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002015
Cod. catastale,B009
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,borgodalesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Borgo d'Ale,Borgo d'Ale
Borgo d'Ale – MappaPosizione del comune di Borgo d'Ale nella provincia di Vercelli,Borgo d'Ale – MappaPosizione del comune di Borgo d'Ale nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
