Bagnoli di Sopra comune,Bagnoli di Sopra comune.1
,
Bagnoli di Sopra – VedutaMunicipio,Bagnoli di Sopra – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Matteo Ruzzon (lista civica Bagnoli Nuovo Percorso) dal 10-6-2024
Territorio,Territorio
Coordinate,45°11′N 11°53′E
Altitudine,5 m s.l.m.
Superficie,"34,98 km²"
Abitanti,3 371[1] (30-11-2025)
Densità,"96,37 ab./km²"
Frazioni,"Olmo, Prejon, San Siro[2]"
Comuni confinanti,"Agna, Anguillara Veneta, Arre, Conselve, Tribano"
Altre informazioni,Altre informazioni
Cod. postale,35023
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028008
Cod. catastale,A568
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 466 GG[4]"
Nome abitanti,bagnolesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Bagnoli di Sopra,Bagnoli di Sopra
Bagnoli di Sopra – MappaPosizione del comune di Bagnoli di Sopra all'interno della provincia di Padova,Bagnoli di Sopra – MappaPosizione del comune di Bagnoli di Sopra all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
