Arre comune,Arre comune.1
,
Arre – VedutaVeduta con la chiesa parrocchiale,Arre – VedutaVeduta con la chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Michele Teobaldo (lista civica Arre Viva) dal 26-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°13′N 11°55′E
Altitudine,5 m s.l.m.
Superficie,"12,34 km²"
Abitanti,2 087[1] (30-11-2025)
Densità,"169,12 ab./km²"
Comuni confinanti,"Agna, Bagnoli di Sopra, Candiana, Conselve, Terrassa Padovana"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028006
Cod. catastale,A438
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 466 GG[3]"
Nome abitanti,arresani
Patrono,Maria SS. Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Arre,Arre
Arre – MappaPosizione del comune di Arre all'interno della provincia di Padova,Arre – MappaPosizione del comune di Arre all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
