Correzzola comune,Correzzola comune.1
,
Correzzola – VedutaLa chiesa di Villa del Bosco,Correzzola – VedutaLa chiesa di Villa del Bosco
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Mauro Fecchio (lista civica di centro-destra Progetto Comune) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°14′N 12°04′E
Altitudine,2 m s.l.m.
Superficie,"42,33 km²"
Abitanti,5 283[1] (30-11-2025)
Densità,"124,81 ab./km²"
Frazioni,"Brenta d'Abbà, Civè, Concadalbero, Villa del Bosco Località: Calcinara, Casoni Nuovi, Gorne, Termini, Treponti[2]"
Comuni confinanti,"Agna, Candiana, Chioggia (VE), Codevigo, Cona (VE), Pontelongo"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028035
Cod. catastale,D040
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 313 GG[4]"
Nome abitanti,correzzolesi o corteregioli
Patrono,san Leonardo
Giorno festivo,6 novembre
Cartografia,Cartografia
Correzzola,Correzzola
Correzzola – MappaPosizione del comune di Correzzola all'interno della provincia di Padova,Correzzola – MappaPosizione del comune di Correzzola all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
