Fontaniva comune,Fontaniva comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Alberto Trento (lista civica di centro Fontaniva Più) dal 10-6-2024
Territorio,Territorio
Coordinate,45°38′15.46″N 11°45′07.91″E
Altitudine,44 m s.l.m.
Superficie,"20,61 km²"
Abitanti,8 107[1] (30-11-2025)
Densità,"393,35 ab./km²"
Frazioni,"San Giorgio in Brenta[2] Località: Boschi, Casoni, Fontanivetta, Fratta[2]"
Comuni confinanti,"Carmignano di Brenta, Cittadella, Grantorto, San Giorgio in Bosco"
Altre informazioni,Altre informazioni
Cod. postale,35014
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028038
Cod. catastale,D679
Targa,PD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 431 GG[4]"
Nome abitanti,"fontanivari, fontanivesi o Bartandi[5]"
Patrono,beato Bertrando
Giorno festivo,1º marzo
Cartografia,Cartografia
Fontaniva,Fontaniva
Fontaniva – MappaPosizione del comune di Fontaniva all'interno della provincia di Padova,Fontaniva – MappaPosizione del comune di Fontaniva all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
