Albignasego comune,Albignasego comune.1
,
Albignasego – Veduta,Albignasego – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Gregori Bottin (vicesindaco reggente) (centro-destra) dal 22-1-2026
Territorio,Territorio
Coordinate,45°21′N 11°52′E
Altitudine,13 m s.l.m.
Superficie,"21,16 km²"
Abitanti,27 569[1] (30-11-2025)
Densità,"1 302,88 ab./km²"
Frazioni,"Sant'Agostino, Carpanedo, Lion, Mandriola, San Giacomo"
Comuni confinanti,"Abano Terme, Casalserugo, Maserà di Padova, Padova, Ponte San Nicolò"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028003
Cod. catastale,A161
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,albignaseghesi
Patrono,san Tommaso apostolo
Giorno festivo,3 luglio
Cartografia,Cartografia
Albignasego,Albignasego
Albignasego – Mappa,Albignasego – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
