Selvazzano Dentro comune,Selvazzano Dentro comune.1
,
Selvazzano Dentro – VedutaVilla e Barchessa Cesarotti,Selvazzano Dentro – VedutaVilla e Barchessa Cesarotti
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Claudio Piron (centro-sinistra) dal 24-6-2024
Territorio,Territorio
Coordinate,45°23′23.17″N 11°47′09.13″E
Altitudine,18 m s.l.m.
Superficie,"19,52 km²"
Abitanti,22 924[1] (30-11-2025)
Densità,"1 174,39 ab./km²"
Frazioni,"Selvazzano Capoluogo, Caselle, Feriole, San Domenico, Tencarola[2]"
Comuni confinanti,"Abano Terme, Padova, Rubano, Saccolongo, Teolo"
Altre informazioni,Altre informazioni
Cod. postale,35030
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028086
Cod. catastale,I595
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,selvazzanesi
Patrono,san Michele Arcangelo
Cartografia,Cartografia
Selvazzano Dentro,Selvazzano Dentro
Selvazzano Dentro – MappaPosizione del comune di Selvazzano Dentro all'interno della provincia di Padova,Selvazzano Dentro – MappaPosizione del comune di Selvazzano Dentro all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
