Provincia di Padova provincia,Provincia di Padova provincia.1
,
"Provincia di Padova – VedutaPalazzo Santo Stefano, sede della Provincia.","Provincia di Padova – VedutaPalazzo Santo Stefano, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Amministrazione,Amministrazione
Capoluogo,Padova
Presidente,Sergio Giordani (Indipendente di centro-sinistra) dal 10-9-2022
Data di istituzione,1866
Territorio,Territorio
Coordinate del capoluogo,45°24′23″N 11°52′40″E
Superficie,"2 144,15 km²"
Abitanti,934 485[1] (30-11-2025)
Densità,"435,83 ab./km²"
Comuni,101 comuni
Province confinanti,"Rovigo, Treviso, Venezia, Vicenza, Verona"
Altre informazioni,Altre informazioni
Cod. postale,"35121-35143 Padova, 35010-35048"
Prefisso,"049, 0425, 0429"
Fuso orario,UTC+1
ISO 3166-2,IT-PD
Codice ISTAT,028
Targa,PD
Cartografia,Cartografia
Provincia di Padova – Localizzazione,Provincia di Padova – Localizzazione
Provincia di Padova – MappaPosizione della provincia di Padova all'interno del Veneto.,Provincia di Padova – MappaPosizione della provincia di Padova all'interno del Veneto.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
