Campo San Martino comune,Campo San Martino comune.1
,
Campo San Martino – Veduta,Campo San Martino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Dario Luigi Tardivo (LSP - lista civica di centro-destra Il Nostro Impegno per il Futuro) dal 26-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°33′N 11°49′E
Altitudine,28 m s.l.m.
Superficie,"13,16 km²"
Abitanti,5 546[1] (30-11-2025)
Densità,"421,43 ab./km²"
Frazioni,"Busiago, Marsango Località: Busiago Vecchio, Casere, Capitelvecchio"
Comuni confinanti,"Curtarolo, Piazzola sul Brenta, San Giorgio delle Pertiche, San Giorgio in Bosco, Santa Giustina in Colle, Villa del Conte"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028020
Cod. catastale,B564
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 344 GG[3]"
Nome abitanti,camposammartinari o camposammartinesi
Cartografia,Cartografia
Campo San Martino,Campo San Martino
Campo San Martino – MappaPosizione del comune di Campo San Martino all'interno della provincia di Padova,Campo San Martino – MappaPosizione del comune di Campo San Martino all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
