Grantorto comune,Grantorto comune.1
,
Grantorto – Veduta,Grantorto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Fiorenzo Cappellari (Lista civica di centro Unione per Grantorto) dal 4-10-2021
Territorio,Territorio
Coordinate,45°36′N 11°44′E
Altitudine,36 m s.l.m.
Superficie,"14,1 km²"
Abitanti,4 444[1] (30-11-2025)
Densità,"315,18 ab./km²"
Frazioni,"Canfriolo, Canola (Due Albere), Rossignolo, Sant'Antonio, Trentunmozzo (Sega)"
Comuni confinanti,"Carmignano di Brenta, Fontaniva, Gazzo, Piazzola sul Brenta, San Giorgio in Bosco, San Pietro in Gu"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028042
Cod. catastale,E145
Targa,PD
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 401 GG[3]"
Nome abitanti,grantortani
Patrono,san Biagio e san Daniele
Giorno festivo,3 febbraio
Cartografia,Cartografia
Grantorto,Grantorto
Grantorto – MappaPosizione del comune di Grantorto all'interno della provincia di Padova,Grantorto – MappaPosizione del comune di Grantorto all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
